"Model_Name","K","AIC","AICc","DeltaAICc","ModelL","ModelW","LL"
"Log",2,216.144034488162,217.187512749032,0,1,0.299134872611292,-105.072017244081
"Log + Stems",3,216.274343524963,218.092525343145,0.905012594113572,0.636032067028586,0.190259371347293,-104.137171762482
"Log + EDD",3,217.33485228718,219.153034105362,1.96552135633007,0.374276414568,0.11195912759321,-104.66742614359
"Log + Oak",3,217.767005468706,219.585187286888,2.39767453785672,0.30154462345871,0.090202512524941,-104.883502734353
"Log + Height",3,218.078970306792,219.897152124973,2.70963937594192,0.257993809645372,0.0771749453827703,-105.039485153396
"Log + Stems + EDD",4,217.826531397933,220.683674255076,3.49616150604447,0.174107778820015,0.0520817082379601,-103.913265698967
"Log + Stems + Height",4,217.899902161613,220.757045018756,3.56953226972473,0.167836307471963,0.0502056924551753,-103.949951080807
"Log + Stems + Oak",4,218.058262412077,220.91540526922,3.72789252018833,0.15505951622862,0.0463837086342167,-104.029131206038
"Height + EDD + Log",4,218.972565163915,221.829708021058,4.64219527202644,0.0981657761562444,0.0293648069452868,-104.486282581958
"Height + Oak + Log",4,219.744226965109,222.601369822252,5.41385707322053,0.0667414862528553,0.0199647059881361,-104.872113482555
"Stems",2,223.001824922051,224.04530318292,6.85779043388877,0.0324227410884459,0.00969877252520116,-108.500912461025
"Stems + Height",3,222.867286878828,224.68546869701,7.49795594797874,0.0235417938907506,0.00704217151655097,-107.433643439414
"Height + Stems + EDD",4,223.38285580498,226.239998662123,9.05248591309152,0.0108212557232365,0.00323701495226458,-106.69142790249
"Full",6,220.693772920757,226.588509762863,9.40099701383119,0.00909074417310338,0.00271935860016312,-103.346886460379
"Stems + Oak",3,224.94136250135,226.759544319532,9.57203157050029,0.00834564206077752,0.00249647257471012,-108.470681250675
"Intercept",1,226.958927822175,227.458927822175,10.2714150731433,0.0058828876741776,0.00175977685500165,-111.479463911087
"Height + Stems + Oak",4,224.865789370143,227.722932227286,10.535419478254,0.00515540428325308,0.00154216120353062,-107.432894685071
"EDD",2,227.478782698587,228.522260959456,11.3347482104246,0.00345693090504497,0.00103408858590666,-110.739391349293
"Height",2,227.940754466481,228.984232727351,11.796719978319,0.00274394122403694,0.000820808508505162,-110.97037723324
"EDD + Height",3,227.244086383924,229.062268202106,11.8747554530748,0.0026389406097716,0.000789399163132793,-109.622043191962
"EDD + Stems",3,227.244086383924,229.062268202106,11.8747554530748,0.0026389406097716,0.000789399163132793,-109.622043191962
"Oak",2,228.736632063092,229.780110323962,12.5925975749303,0.0018431139245654,0.000551339649032968,-111.368316031546
"EDD + Oak",3,228.819145438203,230.637327256385,13.4498145073534,0.00120063192854445,0.000359150878998194,-110.409572719102
"Height + EDD + Oak",4,228.796549019841,231.653691876984,14.4661791279522,0.000722285863955475,0.000216060889903258,-109.39827450992
"Height + Oak",3,229.868057662087,231.686239480269,14.4987267312373,0.000710626654223801,0.000212573213685425,-110.934028831044
