Deployment_Name,Date.out,Date.in,Shift.begin.1,Shift.end.1,Shift.begin.2,Shift.end.2,Log.in.View,Notes
0101_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,YES,good
0102_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-05T09:52:41,2017-10-12T15:12:45,2017-10-13T02:29:52,2017-11-06T15:16:53,NO,"racoon tilts camera  10/05/2017T21:52:41; Trapper adjusts camera on 10/12/2017 15:13:45 but set lower than beginning of deployment. Raccoon moves camera 10/13/17T02:29:52AM far to the left and fixed 11/06/2017T15:16:53PM. Is the camera angled too low after 10/12/2017 15:13:45, and if so, do we discard all sequences between then and 11/06/2017?"
0103_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,camera fogged whole deployment (night pictures are clear)
0104_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-18T17:01:26,2017-11-06T15:20:34,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"bear moves camera on 10/18/2017 17:01:26, fixed on Nov 6, 2017 15:20:34"
0105_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-20T21:04:39,2017-11-06T15:26:36,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,bear moved camera 10/20/2017 9:04:39 pm diagonally and fixed 11/06/2017 15:26:36
0201_F17,2017-11-06T14:53:55,2017-12-01T12:00:00,2017-11-06T14:53:55,2017-11-06T14:53:55,2017-11-06T14:53:55,2017-11-06T14:53:55,NO,Camera initially set up really low and then adjusted 11/06/2017 @ 14:53:55.Bear moved camera 10/24/17 @16:46:50pm fixed 11/06/2017 @ 14:53:55pm. JMK says start when adjusted and fixed on Nov 6.
0202_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"good, odd that there was only less than 50 sequences"
0203_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,good
0204_F17,2017-10-02T12:00:00,2017-12-01T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"was set up at close to 6pm. Should I set the""Date.out"" to 6pm?"
0205_F17,2017-10-02T12:00:00,2017-10-13T23:51:25,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,2017-10-02T12:00:00,NO,"was set up at close to 6pm, bear moves camera 10/13/2017 23:51:25 and camera way lower after. Was never raised or fixed in Fall. This camera seems to be in completely different position compared to summer 2017. For Fall, camera was moved significant to the right. Any seasonal comparisons, or pooling of detection distance measurements needs to be assessed closely. After fall the camera was never raised again, until February 2nd, part of the way through winter."
0206_F17,NA,NA,NA,NA,NA,NA,NA,this camera cannot be analyzed. A strap was obstructing the view for the entirely of the Fall period.
