Deployment_Name,Date.out,Date.in,Shift.begin.1,Shift.end.1,Shift.begin.2,Shift.end.2,Log.in.View,Deployment_Name2,Season,Notes
0101_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,101,Spring 2018,no issues
0102_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,102,Spring 2018,no issues
0103_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,103,Spring 2018,Day photos blurry but still OK
0104_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,104,Spring 2018,no issues
0105_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-09T20:15:17,2018-04-30T11:11:26,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,105,Spring 2018,"camera shifted onApril 9 at 8:15:17pm, fixed on Apr 30 11:11:26AM. In general lots of empty daytime triggers after Apr 30"
0201_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,201,Spring 2018,no issues
0202_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,202,Spring 2018,no issues
0203_Sp18,2018-04-04T15:30:00,2018-05-28T13:50:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,203,Spring 2018,Card filled on May 28 at 1:50pm
0204_Sp18,2018-04-04T15:30:00,2018-05-25T19:32:42,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,204,Spring 2018,card filled on May 25 at 19:32:42
0205_Sp18,2018-04-04T15:30:00,2018-05-04T15:08:38,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,205,Spring 2018,"camera moved into a position that was way too low, on May 4th, 3:08:38PM"
0206_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,206,Spring 2018,no issues
0301_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,301,Spring 2018,no issues
0302_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,302,Spring 2018,no issues
0303_Sp18,2018-04-04T15:30:00,2018-05-23T11:08:04,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,303,Spring 2018,battery died on May 23 11:08:04AM
0304_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,304,Spring 2018,no issues
0305_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-14T12:14:32,2018-05-02T10:40:01,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,305,Spring 2018,"a tree fell in front of camera on April 14 at 12:14:32PM, it was removed on May 2 10:40:01 AM"
0401_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,401,Spring 2018,no issues
0402_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,402,Spring 2018,no issues
0403_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,403,Spring 2018,no issues
0404_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,404,Spring 2018,no issues
0405_Sp18,2018-04-04T15:30:00,2018-06-01T08:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,NO,405,Spring 2018,no issues
0406_Sp18,2018-04-04T15:30:00,2018-05-08T15:29:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,2018-04-04T15:30:00,YES,406,Spring 2018,"card filled on May 8, at 3:29PM"
