CameraID,NAD83_X,NAD83_Y,CamModel,Deployment
NRC 021,747533.7667,4309010.513,HyperFire,105
NRC 081,747494.8495,4308967.698,HyperFire,303
NRC 088,747475.7225,4308929.845,HyperFire,502
NRC 089,747517.0971,4308970.215,HyperFire,304
NRC 108,747473.8852,4309009.023,HyperFire,102
NRC 110,747524.219,4308990.251,HyperFire,205
NRC 117,747536.507,4308970.022,HyperFire,305
NRC 135,747536.587,4308930.587,HyperFire,505
NRC 140,747483.9516,4308950.241,HyperFire,403
NRC 142,747515.6739,4309009.993,HyperFire,104
NRC 186,747452.4886,4309008.627,HyperFire,101
SCBI 05,747524.087,4308948.447,RapidFire,405
SCBI 06,747545.9372,4308951.579,RapidFire,406
SCBI 11,747542.873,4308990.515,RapidFire,206
SCBI 14,747496.2604,4309006.042,RapidFire,103
SCBI 29,747516.1604,4308928.682,RapidFire,504
SCBI 65,747505.9897,4308948.852,HyperFire,404
SCBI 72,747459.9106,4308930.178,HyperFire,501
SCBI 74,747441.5581,4308945.156,HyperFire,401
SIGMU 01,747486.425,4308990.209,RapidFire,203
SIGMU 03,747503.5598,4308988.906,RapidFire,204
SIGMU 07,747466.926,4308951.146,RapidFire,402
SIGMU 10,747499.0093,4308930.685,RapidFire,503
SIGMU 13,747444.9,4308988,HyperFire,201
SIGMU 14,747456.3109,4308964.604,HyperFire,301
SIGMU 15,747476.1963,4308965.465,HyperFire,302
SIGMU 16,747465.1236,4308985.714,HyperFire,202
