Deployment,Squirrel_EDD_4S,Squirrel_EDD_WSp
101,5.341732,5.191761
102,2.958135,3.094665
103,4.035421,3.494878
104,3.910318,3.913787
105,5.138712,4.52189
201,3.92532,4.217454
202,3.060593,2.470916
203,3.619599,3.648699
204,3.893281,3.519396
205,3.184706,3.492051
206,2.608071,2.608071
301,4.3059,4.352466
302,2.145277,2.208376
303,3.515436,3.992937
304,4.27747,3.516994
305,4.644279,4.641053
401,3.192733,3.979949
402,4.260369,4.287847
403,3.942361,2.898424
404,2.738463,3.783049
405,4.884381,3.619044
406,2.50482,2.675393
501,4.996547,5.112611
502,3.346791,3.411974
503,3.49558,3.269709
504,4.482913,2.776576
505,4.424468,4.830294
